Campaña,Cultivo,Campo,Lote,Has sembradas,Has cosechadas,Kg seco
24-25,Soja 1°,Sol de Mayo,16,57.3,40,54561
24-25,Soja 1°,Sol de Mayo,23,53,49.8,114393
24-25,Soja 1°,Sol de Mayo,36,35.5,35,55359
24-25,Soja 1°,Maryland,M1,39.7,5,6622
24-25,Soja 1°,Maryland,M2,14,3,4596
24-25,Soja 1°,Maryland,M4,20,19.5,31216
24-25,Soja 2°,Sol de Mayo,8,23.4,23.4,71006
24-25,Soja 2°,Sol de Mayo,21,32,32,80118
24-25,Soja 2°,La Lolita AF,LL3,27.7,26.5,75853
24-25,Soja 2°,La Lolita MRF,LL5,39.5,39.5,119330
24-25,Soja 2°,La Lolita MRF,LL6,14.8,14.8,51445
24-25,Soja 2°,La Lolita MRF,LL7,29.5,29.5,92310
24-25,Soja 2°,La Lolita MRF,LL8,40.1,38.8,107600
24-25,Soja 2°,La Lolita MRF,LL9,10.4,10.4,32602
24-25,Soja 2°,Sol de Mayo,5a,27.1,26.2,55600
24-25,Soja 2°,Sol de Mayo,10,34.3,32.3,77397
24-25,Soja 2°,Sol de Mayo,22A,53.7,48.1,107320
24-25,Soja 2°,Sol de Mayo,25-26,52.3,48.4,133824
24-25,Soja 2°,Maryland,M 2A,20.6,20.6,58500
24-25,Soja 2°,Maryland,M5,48.4,19,27908
24-25,Soja 2°,Maryland,M11a/13,68,63,99852
24-25,Soja 2°,Maryland,M 14,52.1,44.1,64505
24-25,Soja 2°,La Lolita AF,LL2,37.1,37.1,80707
24-25,Soja 2°,Sol de Mayo,3,17.7,17.5,59900
24-25,Soja 2°,Sol de Mayo,12,74,74,234129
24-25,Soja 2°,Sol de Mayo,17,35.2,34.7,90762
24-25,Maiz Temprano.,Sol de Mayo,23,1,1,8904
24-25,Maiz Temprano.,Maryland,M1,18.8,18.8,31919
24-25,Maiz Temprano.,Maryland,M6,52.4,52.4,161222
24-25,Maiz Temprano.,Maryland,M8,57.6,57.6,405372
24-25,Maiz Temprano.,Maryland,M8a,24.1,24.1,172989
24-25,Maiz Temprano.,Maryland,M9,29.8,29.8,230972
24-25,Maiz Temprano.,Maryland,M9/10,62.3,62.3,282667
24-25,Maiz Temprano.,Maryland,M12,24,24,264721
24-25,Maiz Temprano.,Maryland,M12,51.3,51.3,387817
24-25,Maiz Temprano.,La Lolita AF,LL1,30.6,30.6,241143
24-25,Maiz Temprano.,Sol de Mayo,1//2,117.5,117.5,1130665
